age_A,age_B,height_A,height_B,reach_A,reach_B,stance_A,stance_B,weight_A,weight_B,won_A,won_B,lost_A,lost_B,drawn_A,drawn_B,kos_A,kos_B,result,decision,judge1_A,judge1_B,judge2_A,judge2_B,judge3_A,judge3_B
21,29,173,170,175,,orthodox,orthodox,,,10,11,2,27,2,4,4,2,win_A,UD,79,72,80,71,80,71
20,30,173,173,175,,orthodox,orthodox,,,9,5,2,19,2,1,4,3,win_A,UD,,,,,,
20,29,173,167,175,,orthodox,orthodox,134,,8,13,2,5,2,0,4,6,win_A,UD,,,,,,
20,30,173,170,175,,orthodox,orthodox,136,135,7,4,2,0,2,0,3,2,win_A,TKO,,,,,,
20,26,173,,175,,orthodox,orthodox,135,134,6,5,2,5,2,1,3,1,win_A,UD,,,,,,
20,23,173,,175,,orthodox,orthodox,133,134,5,6,2,1,2,0,2,3,win_A,TKO,,,,,,
20,23,173,,175,,orthodox,orthodox,135,,4,5,2,4,2,2,1,0,win_A,TKO,,,,,,
20,20,173,170,175,,orthodox,orthodox,,,3,2,2,0,2,0,1,1,win_A,SD,,,,,,
19,19,,173,,175,orthodox,orthodox,134,134,4,3,0,1,1,2,2,1,win_A,SD,,,,,,
19,28,173,,175,,orthodox,orthodox,137,,2,1,1,0,2,0,1,1,win_A,UD,,,,,,
19,19,,173,,175,orthodox,orthodox,132,133,3,2,0,1,0,1,1,1,draw,PTS,,,,,,
19,27,173,,175,,orthodox,orthodox,130,,1,2,1,9,1,1,0,2,win_A,TKO,,,,,,
25,18,175,173,185,175,orthodox,orthodox,134,137,0,1,0,0,0,1,0,0,win_A,MD,,,,,,
18,24,173,172,175,,orthodox,orthodox,135,132,1,0,0,0,0,0,0,0,draw,PTS,,,,,,
18,28,173,,175,,orthodox,orthodox,135,,0,1,0,0,0,0,0,1,win_A,UD,,,,,,
26,30,170,,172,,orthodox,orthodox,,135,16,27,1,3,1,0,3,15,win_A,TKO,40,36,39,37,39,37
26,23,170,168,172,170,orthodox,orthodox,,,15,13,1,1,1,1,3,8,win_A,UD,80,72,80,72,80,73
26,23,170,,172,,orthodox,orthodox,,134,14,12,1,6,1,5,2,7,win_A,RTD,40,34,40,33,40,33
26,35,170,174,172,174,orthodox,orthodox,,,13,39,1,14,1,3,2,18,win_A,UD,96,94,98,92,100,89
25,25,170,170,172,,orthodox,orthodox,135,,12,5,1,0,1,2,2,3,win_A,UD,100,89,99,91,100,89
25,29,170,166,172,,orthodox,orthodox,,,11,20,1,11,1,6,2,12,win_A,UD,118,110,119,110,120,109
24,30,170,,172,,orthodox,orthodox,135,,10,24,1,6,1,0,2,9,win_A,UD,100,91,99,92,99,92
24,35,170,,172,,orthodox,orthodox,135,,9,30,1,10,1,0,2,15,win_A,UD,100,91,100,90,100,90
24,23,170,175,172,,orthodox,orthodox,140,,8,5,1,24,1,2,2,3,win_A,UD,78,72,78,72,78,72
30,24,172,170,,172,,,,,9,8,0,0,2,1,2,2,win_A,UD,98,92,97,93,96,94
30,23,172,170,,172,,,,,9,8,0,0,1,0,2,2,draw,TD,30,28,30,28,30,28
23,24,170,179,172,,orthodox,orthodox,,,7,4,0,1,0,2,2,1,win_A,SD,75,78,79,73,79,75
23,25,170,170,172,,orthodox,orthodox,,,6,0,0,2,0,0,2,0,win_A,UD,60,54,60,54,59,55
23,24,170,170,172,170,orthodox,orthodox,133,137,5,3,0,5,0,2,2,1,win_A,UD,,,,,,
21,23,170,170,172,170,orthodox,orthodox,,,4,3,0,1,0,0,2,3,win_A,UD,60,54,59,55,58,56
21,36,170,,172,,orthodox,orthodox,132,,3,1,0,2,0,0,1,1,win_A,TKO,,,,,,
21,22,170,168,172,,orthodox,orthodox,,,2,4,0,0,0,1,1,0,win_A,UD,40,36,39,37,39,37
20,20,170,178,172,,orthodox,orthodox,130,,1,1,0,0,0,0,1,1,win_A,UD,39,37,40,36,40,36
20,26,170,,172,,orthodox,orthodox,,,0,2,0,14,0,6,0,0,win_A,KO,,,,,,
30,,169,,173,,orthodox,orthodox,,,24,18,4,15,1,2,13,10,win_A,KO,,,,,,
,29,,169,,173,orthodox,orthodox,,,17,24,15,3,2,1,10,13,win_A,MD,97,94,97,93,95,95
21,29,164,169,161,173,orthodox,orthodox,108,,7,24,0,2,0,1,4,13,win_A,TKO,40,36,40,36,40,36
28,27,169,157,173,158,orthodox,orthodox,112,,23,28,2,4,1,0,12,20,win_A,TKO,,,,,,
28,22,169,163,173,165,orthodox,orthodox,107,108,22,18,2,3,1,1,12,12,win_A,SD,116,112,112,116,116,112
27,33,169,160,173,160,orthodox,orthodox,110,,21,14,2,5,1,2,11,9,win_A,KO,,,,,,
27,,169,,173,,orthodox,orthodox,,121,20,1,2,2,1,0,11,0,win_A,UD,60,54,60,54,59,55
27,26,169,170,173,,orthodox,orthodox,,,19,6,2,11,1,0,10,2,win_A,KO,,,,,,
31,26,160,169,166,173,orthodox,orthodox,108,108,32,19,1,1,4,1,18,10,win_A,KO,,,,,,
26,33,169,,173,,orthodox,orthodox,,,18,24,1,6,1,2,9,15,win_A,TKO,,,,,,
25,28,169,157,173,165,orthodox,orthodox,108,108,17,22,1,2,1,1,8,12,win_A,TKO,,,,,,
25,28,169,165,173,160,orthodox,orthodox,111,111,16,18,1,5,1,1,8,14,win_A,UD,99,91,99,91,99,91
30,25,160,169,166,173,orthodox,orthodox,108,108,31,16,1,1,3,0,17,8,draw,MD,114,114,114,114,115,113
25,37,169,152,173,160,orthodox,orthodox,,,15,35,1,2,0,1,7,6,win_A,TKO,,,,,,
24,,169,,173,,orthodox,orthodox,105,105,14,17,1,3,0,0,6,7,win_A,KO,,,,,,
28,23,,169,163,173,southpaw,southpaw,105,105,30,13,1,1,1,0,18,6,win_B,SD,112,114,114,112,112,114
23,20,169,,173,,orthodox,orthodox,111,,12,3,1,5,0,0,6,0,win_A,SD,39,37,39,37,38,39
23,23,159,169,166,173,orthodox,orthodox,,,17,12,1,0,0,0,13,6,win_A,SD,115,112,115,113,113,115
22,,169,,173,,orthodox,orthodox,108,108,11,0,0,3,0,0,5,0,win_A,TKO,,,,,,
22,19,169,,173,,orthodox,orthodox,109,,10,2,0,5,0,0,5,0,win_A,UD,,,,,,
22,18,169,,173,,orthodox,orthodox,105,,9,2,0,3,0,0,5,0,win_A,UD,99,95,97,93,96,95
22,20,169,163,173,164,orthodox,orthodox,112,113,8,3,0,9,0,0,4,2,win_A,TKO,,,,,,
21,17,169,,173,,orthodox,orthodox,109,,7,6,0,1,0,1,3,4,win_A,TKO,,,,,,
21,16,169,,173,,orthodox,orthodox,,,6,6,0,3,0,0,2,3,win_A,RTD,,,,,,
21,25,169,,173,,orthodox,orthodox,107,,5,3,0,13,0,1,2,2,win_A,UD,78,74,78,76,77,75
21,,169,,173,,orthodox,orthodox,,,4,6,0,2,0,1,2,2,win_A,UD,,,,,,
20,,169,,173,,orthodox,orthodox,105,,3,3,0,0,0,1,1,2,win_A,TKO,,,,,,
19,,169,,173,,orthodox,orthodox,,,2,2,0,0,0,0,1,1,win_A,UD,,,,,,
19,14,169,,173,,orthodox,orthodox,104,,1,3,0,1,0,0,1,1,win_A,SD,,,,,,
19,,169,157,173,155,orthodox,orthodox,,,0,0,0,4,0,0,0,0,win_A,TKO,,,,,,
24,30,,175,,,,,,,18,29,2,2,0,0,7,10,win_B,UD,110,119,109,119,109,119
29,24,175,,,,orthodox,orthodox,,,29,17,1,2,0,0,10,7,win_B,SD,113,115,112,116,116,112
29,29,175,170,,,orthodox,orthodox,,,28,14,1,1,0,1,9,3,win_A,TKO,,,,,,
29,30,175,172,,,orthodox,orthodox,,,27,14,1,1,0,1,9,4,win_A,UD,119,109,118,110,118,111
28,31,175,173,,,orthodox,orthodox,,,26,20,1,2,0,0,9,12,win_A,UD,118,110,117,111,118,110
28,38,175,,,,orthodox,orthodox,139,,25,16,1,2,0,0,8,12,win_A,TKO,,,,,,
27,29,175,174,,,orthodox,orthodox,,,24,30,1,3,0,1,8,15,win_A,UD,116,112,116,112,117,111
27,18,175,,,,orthodox,orthodox,140,,23,1,1,7,0,0,7,1,win_A,TKO,,,,,,
32,27,175,175,183,,orthodox,orthodox,,135,18,23,3,0,1,0,8,7,win_A,MD,114,114,116,112,117,111
26,35,175,165,,,orthodox,orthodox,135,,22,26,0,3,0,1,6,14,win_A,TKO,,,,,,
26,40,175,170,,178,orthodox,orthodox,,135,21,32,0,6,0,0,6,13,win_A,UD,118,110,118,110,117,111
26,34,175,,,,orthodox,orthodox,,139,20,21,0,9,0,3,5,13,win_A,KO,,,,,,
29,25,170,175,,,orthodox,orthodox,,135,16,19,9,0,5,0,9,5,win_B,UD,110,117,112,116,111,119
25,34,175,172,,,orthodox,orthodox,,,18,16,0,2,0,0,4,8,win_A,TKO,,,,,,
24,24,175,164,,,orthodox,orthodox,,,17,9,0,8,0,4,4,6,win_A,UD,80,72,80,75,79,73
24,34,175,175,,,orthodox,orthodox,136,,16,14,0,4,0,0,3,9,win_A,TKO,,,,,,
24,32,175,172,,,orthodox,orthodox,136,136,15,13,0,3,0,0,3,5,win_A,UD,100,90,100,92,98,93
24,36,175,173,,178,orthodox,orthodox,,,14,18,0,6,0,4,3,8,win_A,UD,80,72,80,72,80,72
23,26,175,168,,,orthodox,orthodox,,138,13,15,0,10,0,0,3,0,win_A,UD,80,72,79,73,80,72
23,27,175,170,,173,orthodox,orthodox,,,12,8,0,1,0,2,2,6,win_A,RTD,,,,,,
23,31,175,170,,,orthodox,orthodox,,,11,21,0,17,0,2,2,12,win_A,UD,79,74,77,75,77,75
22,23,175,175,,,orthodox,orthodox,,,10,9,0,4,0,2,2,3,win_A,UD,60,54,60,54,60,55
22,19,175,,,,orthodox,orthodox,136,135,9,0,0,2,0,0,1,0,win_A,TKO,,,,,,
22,24,175,167,,,orthodox,orthodox,,,8,4,0,5,0,1,1,2,win_A,UD,59,55,60,56,59,56
21,26,175,,,,orthodox,orthodox,,136,7,7,0,6,0,0,0,3,win_A,KO,,,,,,
21,29,175,176,,,orthodox,orthodox,141,142,6,4,0,8,0,3,0,3,win_A,UD,60,54,60,54,60,55
21,32,175,172,,,orthodox,orthodox,,,5,5,0,5,0,2,0,2,win_A,UD,58,57,58,57,58,57
21,25,175,,,,orthodox,orthodox,,,4,22,0,5,0,0,0,16,win_A,UD,60,54,60,54,60,56
20,34,175,,,,orthodox,orthodox,,,3,21,0,32,0,1,0,7,win_A,UD,,,40,37,40,36
20,28,175,170,,,orthodox,orthodox,141,,2,6,0,9,0,2,0,4,win_A,UD,39,37,39,37,39,37
20,19,175,172,,,orthodox,orthodox,140,,1,2,0,5,0,0,0,1,win_A,UD,40,36,40,36,40,36
20,22,175,,,,orthodox,orthodox,,,0,0,0,0,0,0,0,0,win_A,UD,39,37,40,37,40,37
26,34,173,166,,,orthodox,orthodox,,,18,21,0,2,2,1,8,8,win_A,KO,49,46,49,46,49,46
26,28,173,178,,,orthodox,orthodox,,,17,15,0,0,2,0,8,7,win_A,UD,115,114,116,114,116,113
25,27,173,,,,orthodox,orthodox,,,16,16,0,2,2,2,8,2,win_A,UD,116,112,116,113,118,111
25,31,173,174,,,orthodox,orthodox,,,15,17,0,3,2,2,8,10,win_A,UD,116,112,114,113,115,113
